%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=215430, 2017/08/30 15:52:32.31)
1 10 4.826258e-01 1.098710e+00 -4.659167728758209400e+00 -4.659167728758209400e+00  1.041864654466201400e+01  2.640924805664689100e+01
2 20 4.828582e-01 1.207684e+00 -1.714180751607813800e+01 -1.714180751607813800e+01 -3.912932327521755600e+00  1.210206398481214800e+01
3 30 4.723003e-01 1.232459e+00 -1.714180751607813800e+01 -1.088764642117173100e+01 -6.020955653376794300e+00  1.369629871588070500e+01
4 40 4.507596e-01 1.238855e+00 -2.450295056462579900e+01 -2.450295056462579900e+01 -8.384654232827349700e+00  4.329955395792540100e+00
5 50 4.165659e-01 1.239994e+00 -2.450295056462579900e+01 -5.984334316889647500e+00 -1.752812398351732100e+00  1.269000706287113500e+01
6 60 4.106280e-01 1.274371e+00 -2.450295056462579900e+01 -1.550009877487473600e+01 -1.760632933932930700e-01  7.946514160551096500e+00
7 70 3.908695e-01 1.279739e+00 -2.450295056462579900e+01 -1.674671227068211000e+01 -4.517329309341639600e+00  9.425940610140013800e+00
8 80 3.463029e-01 1.278755e+00 -2.450295056462579900e+01 -1.901108134311832400e+01 -6.882972238178098200e+00 -3.451932115550002700e+00
9 90 3.064023e-01 1.277953e+00 -2.450295056462579900e+01 -1.586574943221717500e+01 -1.065938374180664600e+01 -7.208762035747131600e-01
10 100 2.857759e-01 1.289151e+00 -2.450295056462579900e+01 -2.214592209174018200e+01 -1.591808327886838700e+01 -3.577684062105674900e-01
11 110 2.680878e-01 1.301692e+00 -2.450295056462579900e+01 -2.389056811093662700e+01 -1.645902299334279600e+01 -3.002517158802052500e+00
12 120 2.774719e-01 1.305201e+00 -2.606928516440777300e+01 -2.606928516440777300e+01 -1.418768256220912800e+01  6.399300578511309300e+00
13 130 2.688505e-01 1.314277e+00 -2.606928516440777300e+01 -2.534964762634521700e+01 -2.044551611761178100e+01 -1.526456349961771500e+01
14 140 2.586972e-01 1.329051e+00 -2.606928516440777300e+01 -2.521113239529710300e+01 -2.034184121083727700e+01 -1.055769491790253800e+01
15 150 2.527846e-01 1.344814e+00 -2.677272549834454600e+01 -2.677272549834454600e+01 -1.967442748694571000e+01 -1.397406240142779400e+01
16 160 2.426406e-01 1.382274e+00 -3.110567293310299400e+01 -3.110567293310299400e+01 -2.144566332840828300e+01 -8.703490468007625900e+00
17 170 2.434148e-01 1.411296e+00 -3.110567293310299400e+01 -2.727758168537683800e+01 -1.975325755776136600e+01 -1.579977057807653700e+01
18 180 2.193867e-01 1.426124e+00 -3.110567293310299400e+01 -2.677164226322582200e+01 -2.034642943827024900e+01 -1.329815046440260700e+01
19 190 2.008123e-01 1.431469e+00 -3.110567293310299400e+01 -2.562491102416996800e+01 -2.131996181277084200e+01 -1.521307834067957600e+01
20 200 1.932028e-01 1.446444e+00 -3.110567293310299400e+01 -2.804799186406624000e+01 -2.344226808537008800e+01 -2.128731729627189000e+01
21 210 1.910481e-01 1.493445e+00 -3.110567293310299400e+01 -2.794138003758836700e+01 -2.282665404692128800e+01 -2.005377282873743300e+01
22 220 1.912508e-01 1.521791e+00 -3.110567293310299400e+01 -2.578578668104441400e+01 -2.198954877106135100e+01 -1.581202302888364600e+01
23 230 1.844515e-01 1.553358e+00 -3.110567293310299400e+01 -2.618137347180846300e+01 -2.048241521134900700e+01 -1.520457520821670300e+01
24 240 1.810642e-01 1.569681e+00 -3.110567293310299400e+01 -2.649742620225295700e+01 -1.949087017935467300e+01 -1.441306112019973200e+01
25 250 1.789763e-01 1.575249e+00 -3.110567293310299400e+01 -2.653327148758225500e+01 -2.382379057292659000e+01 -1.975548253160906100e+01
26 260 1.724460e-01 1.577058e+00 -3.110567293310299400e+01 -2.645444184721500100e+01 -2.178149099476163300e+01 -1.420396934808552600e+01
27 270 1.665153e-01 1.572891e+00 -3.377722444987020400e+01 -3.377722444987020400e+01 -2.284775581025606400e+01 -1.805513747664618800e+01
28 280 1.486823e-01 1.576011e+00 -3.377722444987020400e+01 -2.906648880703606600e+01 -2.235998823598996700e+01 -1.810641588078092900e+01
29 290 1.389295e-01 1.556315e+00 -3.377722444987020400e+01 -3.195738344583454400e+01 -2.732358844354942600e+01 -2.105935008274363400e+01
30 300 1.313912e-01 1.548433e+00 -3.468651750897103600e+01 -3.468651750897103600e+01 -2.591194790533803900e+01 -2.068722305018967200e+01
